5000 30000
1563 3824 9
194 3736 5
1082 205 2
1169 245 4
1664 1375 7
3519 2097 7
635 1053 8
1956 1666 6
4099 1152 10
574 4471 8
4187 4517 4
1385 2404 8
4784 1488 4
1360 4567 9
3128 55 5
231 4155 4
457 3178 9
968 1075 1
163 412 1
3561 1730 4
4892 1094 1
3665 1724 5
456 4556 6
4886 4736 7
971 2849 1
2513 2520 10
2228 3126 4
965 744 5
4628 1886 5
3357 4398 1
4353 1393 9
2588 2323 5
4747 4069 7
3575 2687 1
4431 1500 2
2057 2524 9
196 1226 1
37 4584 2
2668 4427 7
562 3709 2
3998 4657 9
2043 2518 8
2173 4082 2
4018 2329 2
4356 344 2
3763 2722 2
1717 30 10
4412 3305 3
4622 3805 6
3195 2957 4
229 713 2
3972 2155 4
4136 2033 9
3071 2997 4
4341 1461 2
3299 4216 9
4889 4300 7
3576 921 3
307 212 7
1243 2789 9
4247 345 1
1324 426 3
450 4783 4
2652 3493 8
1442 405 4
895 3739 1
645 1765 3
4541 485 2
4686 2019 2
3010 3274 8
500 1958 6
214 777 9
3941 4971 3
3330 2152 8
1766 2495 9
172 3277 8
3413 2220 5
4891 3333 2
1999 1656 3
1501 2278 8
2030 4351 4
2614 800 7
3109 3740 4
3583 850 2
4375 766 3
2192 1534 7
3950 544 1
115 469 9
3169 2627 2
997 4417 8
2596 119 8
3527 207 6
1772 3292 2
2404 2571 6
3237 588 8
1924 98 4
3417 4719 5
4755 3115 10
2532 4000 6
2876 2032 7
648 3442 8
1270 1927 8
28 4694 6
4728 3301 4
3907 1038 4
419 3467 8
2894 2229 6
2672 2321 6
1578 2844 5
945 474 3
128 2742 3
3939 3273 7
441 2087 1
401 915 4
3817 3781 7
2825 863 8
3384 3100 6
869 2454 4
4731 948 8
438 3111 9
4858 3007 9
183 2342 6
2081 222 1
3201 1595 2
3240 1727 8
3493 3185 1
338 2792 2
1677 4906 1
4423 1900 2
4371 4447 5
3388 2710 4
3671 2589 10
1423 2959 6
2272 4792 6
92 3804 10
4424 4010 9
3086 3729 2
2605 3969 4
437 2259 2
1693 2980 4
4077 1256 8
4515 936 8
2431 3446 10
133 1323 2
1296 3447 3
508 4254 6
1699 3325 4
2786 3921 1
76 3693 2
4707 205 10
613 3633 5
3106 3517 5
3757 4776 6
1552 3138 5
3841 3329 7
2999 1468 2
3062 2194 1
1182 4573 2
4017 500 3
222 2980 4
1357 3228 1
1199 3239 1
301 1134 2
4188 1259 10
958 4649 8
3169 3211 9
4172 575 4
1663 1232 6
1582 1382 1
1962 3569 4
3603 4762 4
2531 1296 2
1195 2040 3
3425 303 6
2644 4051 1
2763 4828 6
787 93 8
198 1409 8
3818 1364 2
3602 1505 2
1195 4975 4
173 1955 5
2394 2448 3
161 4200 6
2881 1966 7
1598 420 4
676 1521 4
3547 3551 9
2940 2317 5
1224 2829 2
1714 2398 6
1839 2753 8
3634 4678 6
3310 2939 10
848 4017 5
3509 3594 6
1026 2601 9
810 714 4
4853 880 7
4236 1126 2
4788 955 5
1640 4587 10
4321 1720 5
1139 1450 8
1590 3091 9
1893 719 2
4144 4954 10
3245 4483 10
3249 2314 8
2281 3148 7
4334 624 4
1602 3774 6
780 459 3
1730 1431 6
2211 824 1
683 2736 10
3927 2768 1
2898 4676 7
1945 1148 3
52 3559 7
178 263 7
1835 2843 4
2741 600 2
2313 488 6
4351 4156 7
1017 3867 3
4699 2069 3
4138 2131 6
3470 3679 3
1201 691 3
2661 1781 3
4208 453 4
4008 1873 6
872 3446 6
1077 3319 7
2516 4612 8
1214 82 8
1061 2048 10
2177 1677 2
3964 2120 4
539 630 7
2875 2111 9
4590 339 3
2161 2873 3
1239 4201 9
4697 2852 2
1217 618 3
2486 2300 3
2806 2304 5
3036 4338 3
2498 1765 7
3379 3114 4
2681 4745 4
2087 2757 2
1050 4034 6
1163 282 6
3588 4260 5
3480 983 2
1479 276 9
393 3622 4
728 1899 8
46 1488 7
4997 3856 6
145 3804 4
4761 488 3
1130 4516 4
616 4015 9
2318 1702 4
1619 301 7
4539 178 8
2168 4323 6
1575 4101 2
3192 4185 2
4181 578 6
796 708 6
4079 2393 2
46 801 10
4627 1991 3
3594 2732 8
4356 3900 2
4647 3156 7
676 1941 9
3206 4425 7
3975 1360 4
3417 555 8
1820 3973 1
3537 4515 4
2181 4063 7
104 1215 1
403 1655 3
2373 2358 2
4484 3498 3
3608 213 7
4979 775 9
2206 4409 5
1585 836 10
1784 2311 8
2733 1804 3
3475 1462 7
4089 4551 6
491 3276 4
4557 3093 5
4181 1420 1
3703 2919 9
3729 4586 1
1175 3773 3
1343 1204 4
741 2911 3
806 3170 9
1232 2881 8
2008 2032 6
4348 3609 1
1562 4301 6
25 2431 5
4269 3922 10
176 1122 6
953 3029 4
1729 2218 4
1203 1747 5
1823 4358 1
4644 4245 3
2570 659 10
1819 3001 5
1507 1944 5
215 3724 9
22 3946 9
3199 2022 7
1800 4572 6
1260 2552 6
4315 1190 4
3444 4822 9
3190 1976 1
4513 2383 5
3580 961 4
3457 1081 8
2242 1137 7
1118 371 7
1608 3257 1
1719 34 1
3417 915 4
4426 2534 7
1152 2810 3
993 1893 10
3719 867 7
4342 4411 6
3605 392 6
839 4319 6
2671 4440 10
3922 3046 10
2743 939 7
2454 2250 8
1890 3759 6
4399 3966 2
3005 180 4
3051 1167 1
1140 55 4
4253 2546 4
2201 2952 2
367 937 3
3333 3101 1
1894 3345 10
2282 3730 3
3109 295 2
636 1473 10
2035 3774 4
3231 3279 6
1570 3769 3
2290 4144 4
774 4770 1
2618 3532 8
669 1374 2
198 2644 2
1872 2891 8
2955 626 5
4727 1884 2
764 2945 6
2996 4085 3
2246 3350 5
2396 649 10
34 4801 6
4323 4800 8
4950 146 5
876 3201 4
4077 3227 9
3546 154 2
1347 3736 1
2556 4016 5
953 3680 9
4489 101 7
4394 769 7
2976 513 2
4696 2342 1
4998 3755 4
1355 120 9
541 4511 5
2564 289 3
3706 4680 1
4296 29 5
3578 604 3
983 167 9
2865 1872 9
3579 975 5
2423 904 10
3129 786 5
2480 4858 1
2672 666 9
2025 1156 5
2515 2180 10
4515 853 1
2325 2938 8
1677 3910 4
3196 2678 3
1989 3025 4
366 334 1
1923 4127 4
2657 1018 2
2708 2816 1
13 3329 3
613 3514 4
865 114 4
828 358 10
4713 861 2
4393 231 10
905 1585 10
4939 2542 6
2334 3465 3
371 1144 10
4693 2120 6
3005 2878 4
2789 524 1
3103 2291 2
1423 796 6
3473 4301 3
2180 4907 7
2774 3577 6
540 2247 1
1187 1291 6
4960 3824 10
1879 3981 8
1436 3739 4
1804 1937 2
762 964 1
1904 2144 7
434 2222 4
4048 1306 2
2935 791 3
2925 2444 5
2333 987 7
1190 3353 3
4731 61 9
2992 4831 8
3685 870 1
2701 3364 1
2664 3787 3
3698 4154 7
3480 179 7
1997 4857 6
3795 3739 3
3257 4298 9
631 2112 2
4012 1688 9
583 4029 4
1715 2421 2
452 2151 7
2891 536 10
2189 982 8
770 2544 9
1414 3144 4
2993 1126 5
1939 1486 2
2921 2520 6
2568 3927 10
286 954 10
556 572 2
630 4359 7
2918 2338 9
1531 467 5
1297 4597 7
4688 2921 10
4849 359 4
3048 2861 5
4541 4678 10
4788 1870 4
4572 1140 7
677 4713 2
2982 2293 1
1843 4234 5
4910 2542 2
669 3318 6
4857 1095 6
2574 115 5
4106 4622 9
3641 2742 8
2550 4134 10
620 1938 4
1413 2025 7
3938 987 3
2918 2802 7
1484 229 6
4856 3280 9
729 4378 10
2657 3826 3
3423 1284 2
4150 1344 1
4066 1216 3
2485 1155 6
896 1065 3
4703 3378 4
2230 2947 1
483 3088 8
3822 445 9
2381 885 10
1553 4364 9
1259 3098 4
1585 2272 7
1038 3635 10
2620 539 7
4026 683 5
1652 312 5
1419 1458 2
4667 2467 3
3489 326 8
3794 1245 4
3967 3228 1
1634 983 2
2186 2689 9
3436 4675 9
3619 4434 9
2572 1292 10
1990 838 7
1546 25 4
2321 2205 7
60 3304 3
3090 2046 1
1297 4905 1
391 4653 3
1464 3498 6
1171 3439 1
2300 3745 8
1661 4373 10
74 3428 3
2990 3088 5
414 4488 7
4146 3222 8
3657 2278 6
3316 883 7
2223 716 4
1251 4212 5
2529 2524 4
1621 2587 4
1661 1810 3
1269 4774 1
1918 3241 3
436 3094 8
2877 3535 5
3645 722 1
567 1901 9
3218 4797 1
3418 1815 9
3421 601 4
3969 3484 6
4807 2969 4
2542 1827 5
385 383 6
2249 4544 6
3374 3368 10
4631 2599 2
305 3654 4
4479 4970 5
1247 26 3
2164 3148 6
321 1340 3
1823 972 10
1010 3517 3
1424 2946 9
863 2554 6
529 4018 8
3617 1000 2
2102 2850 8
732 1246 6
1164 3961 9
2983 3822 7
1742 3810 5
390 1475 9
4567 4040 5
4752 4009 9
1807 4338 4
4996 1344 3
1385 4294 8
768 2121 2
694 1894 4
371 2975 1
826 1523 5
79 2253 5
3150 2035 2
1280 3567 6
4161 1978 9
1108 1042 8
3385 4775 7
574 3212 3
2631 2494 9
1193 1994 9
4366 995 6
2330 2278 1
4300 4116 2
2591 1015 10
2915 1068 2
916 2432 8
2553 625 10
1682 521 9
2646 2522 8
4584 1794 3
3190 2621 6
3328 4532 2
1943 440 5
53 2305 1
1206 192 1
1037 2317 3
824 276 3
1693 3549 1
4559 275 10
4650 1815 8
3336 4104 5
526 675 9
3982 4064 9
367 3081 5
4772 3018 5
3519 2885 7
2723 566 1
3053 3803 4
2695 3120 1
454 1023 6
4121 2095 5
1728 1761 8
1580 511 10
1152 1099 6
4930 3012 5
1548 1015 10
1665 917 3
3034 1472 8
2097 603 6
2575 2229 2
767 3389 7
3568 1591 5
567 2887 9
959 349 1
1952 2019 5
1427 1911 1
1874 3952 10
2205 1372 5
1728 3408 3
295 9 6
1699 4731 2
3841 2590 4
1288 2222 4
1444 2350 3
4031 3925 10
3239 2789 10
366 1415 1
4573 1984 2
2696 3579 10
2897 2483 5
1801 515 9
1863 382 9
3597 1725 1
190 1917 8
1428 1424 1
1444 1469 5
1736 588 5
323 2203 9
1321 750 5
1376 3891 7
2439 1616 8
4136 246 1
2169 2306 8
794 4430 8
3622 1918 1
4949 4002 5
1633 1219 4
2719 4469 6
1363 4505 2
4478 2469 6
1807 3363 9
2482 4845 8
4474 1400 7
2013 878 5
4134 143 2
1656 16 2
242 1384 6
2342 1121 10
3382 2066 2
3730 3192 4
1672 2603 5
1256 2866 6
2887 4422 2
1531 1882 4
2690 4568 3
4457 1928 7
3632 1660 3
1909 730 1
39 315 10
3282 2597 6
172 638 7
3838 4505 4
4382 488 4
3052 1635 9
1348 402 10
2264 3942 3
516 2420 2
2995 2633 5
4955 2528 6
3641 2524 10
378 196 2
2393 3775 2
2678 2439 5
55 4161 6
158 4025 3
2533 207 6
4402 2420 7
3959 752 1
3873 3114 1
4102 1925 2
3827 1852 8
399 823 2
610 4228 9
673 2296 1
2778 4659 1
3850 19 10
4481 2431 3
186 1433 6
1167 3957 1
4675 3210 8
1295 2283 3
26 2395 7
1680 1309 4
2589 426 9
4636 4274 10
1021 868 7
1057 2003 9
1330 4584 8
3937 3711 4
4719 3252 9
3828 1091 2
2105 4220 3
4375 1830 8
494 1404 6
907 4971 7
2165 508 4
1087 197 3
163 1289 3
956 2652 3
2123 2774 4
396 483 3
1021 1993 3
4965 852 1
1875 99 5
535 1663 10
1158 1909 4
168 3930 7
3554 3816 2
1266 1820 7
1881 1944 1
2497 3714 6
3687 2454 10
4255 1050 9
3779 3895 4
1182 307 9
3532 2132 2
1897 3656 1
3585 986 9
2302 711 4
926 1188 7
3243 4583 7
2209 3353 4
1502 4939 1
3064 2764 4
2489 4378 5
4941 35 10
2392 3495 4
852 119 2
197 285 2
2125 4700 6
3372 631 9
1419 1059 1
1731 1787 8
3916 4989 2
1084 650 8
38 1532 4
302 891 2
1341 2793 8
1699 57 1
277 2897 2
1788 1165 8
4054 2917 2
2646 1140 1
3544 2917 9
503 2793 2
2460 2647 1
3654 833 2
1307 2938 9
1311 4544 5
4065 4043 10
421 1630 4
2414 3337 3
2325 446 1
1715 3690 5
4703 1688 3
1901 1429 3
3609 4735 9
4670 2828 1
3515 356 6
2741 1745 5
1022 201 10
2036 3736 8
2563 2965 6
855 1719 4
4012 17 5
1379 1985 4
2496 4870 5
193 3779 8
4368 674 7
2319 3132 10
2577 3218 5
3458 255 8
4543 3595 6
64 2912 1
2662 2410 3
3966 4345 2
529 3696 1
919 2461 7
4248 1206 6
1523 3986 8
3 2011 2
4092 128 1
2932 830 2
1737 4832 6
669 4483 3
4179 1574 8
1497 4075 2
3808 2390 10
4766 1724 5
1392 2047 4
2222 561 4
110 51 1
4397 2472 2
3744 2717 6
4615 1383 4
944 3697 4
2058 4559 10
313 926 1
2769 4801 10
1691 247 4
20 3618 1
4884 4366 9
4260 1477 6
738 3410 6
1172 3630 3
3281 129 5
4081 2436 7
1489 2391 3
3810 3790 2
1466 936 2
2757 4330 4
1826 4252 8
1552 2520 9
844 577 8
4989 889 3
4960 3152 2
1132 421 10
1939 4804 6
122 2723 6
2178 4584 2
3281 3866 3
1205 2364 3
1943 3926 9
4826 4452 4
2288 4100 8
4720 4755 1
793 3268 3
933 1002 10
3203 2259 9
3704 466 1
2031 1538 1
2308 3026 1
4611 2877 3
3451 3424 5
4539 248 8
4028 1017 7
3603 3789 9
3151 3480 5
4999 2634 2
1074 4161 2
965 3653 9
38 1696 2
3611 998 3
835 3313 4
3211 2769 6
343 3063 4
3926 351 10
1034 2762 2
3329 837 10
2025 2742 7
3460 2840 7
1906 315 7
2386 1609 7
1907 859 3
2136 3468 8
4406 3045 9
3960 931 4
2670 3987 7
1466 588 2
1038 1009 2
696 1894 4
2310 2830 5
3666 1610 1
1637 1185 3
1092 2145 3
2670 1560 2
3613 2301 1
3976 4029 6
1907 4682 4
203 3213 3
4536 389 2
32 1511 3
3208 1635 6
35 3852 1
3652 4889 10
899 3041 2
4759 3612 6
1391 2664 1
3641 4798 2
3495 2342 4
781 1083 6
3933 235 10
4030 291 6
4392 254 5
1760 1793 7
683 1484 2
3816 1474 6
956 3142 10
1508 4894 4
3920 2803 2
2176 2664 3
748 3391 4
2000 3632 9
204 955 10
4314 1351 10
2693 246 4
785 3430 3
1347 519 6
1324 3291 4
2198 4533 3
909 4915 2
2741 1984 9
2301 124 4
260 2209 8
1819 4401 10
4553 846 8
2126 4267 6
876 1443 2
1882 2835 8
2794 1870 8
1821 248 7
1536 4251 6
4839 2055 2
3553 3691 4
4528 522 9
2005 4602 9
3603 1490 3
4724 600 5
1254 3432 10
3931 1270 5
3164 157 3
31 2389 10
3109 4471 7
1054 3956 10
2099 2872 8
2538 4647 6
2176 2531 6
3076 2713 5
4535 2054 1
219 302 2
455 1763 10
4583 1914 4
4113 4489 7
4612 394 7
1692 1696 3
2076 1542 4
3143 231 7
2543 1605 8
155 2517 8
3357 4360 3
20 148 4
2744 575 8
1642 2524 4
1164 601 9
4152 2960 4
3700 6 5
1754 1872 3
3616 1926 4
3796 1931 5
72 2509 9
1980 4638 9
1211 406 1
4458 272 5
3955 2183 1
4088 1105 9
1148 3039 7
3587 1408 1
4472 1124 6
938 1190 1
2738 2001 2
2096 3880 5
4718 235 6
2894 3076 5
2986 1156 5
4773 868 9
746 377 4
2670 1999 2
2619 3478 10
4660 4108 6
3727 3849 8
3498 910 4
4670 2160 3
526 2191 7
2211 3317 7
72 651 6
1811 2185 9
735 4087 2
4653 4868 6
452 26 2
1833 3627 2
1899 3510 3
2773 84 9
4545 3053 5
261 3277 5
3748 3262 1
3340 2651 1
2344 4479 2
4495 2113 9
2110 2958 9
2245 1705 9
314 2639 4
2288 4047 3
2212 315 3
1668 2368 6
2937 1014 3
3536 2306 7
2060 2908 6
3845 4046 4
2916 3899 2
1910 3434 9
3377 402 9
4215 3554 10
3627 838 1
2648 1881 6
4504 302 1
4937 1503 10
2335 2388 2
4725 1779 5
4437 3501 10
3085 4989 10
6 3562 10
3537 1704 5
4455 1313 2
4956 1910 1
4061 1444 9
896 3524 9
4994 1001 6
530 815 4
2519 2160 7
1062 2713 8
4228 1475 2
411 1189 3
1574 4854 3
1917 3467 1
3066 3848 7
2588 3076 6
2288 1177 3
3327 1548 4
2660 1928 3
462 3690 9
3900 1764 6
2863 1042 1
206 1255 3
4280 2721 6
3349 510 1
1626 4558 7
4505 4975 7
748 2252 6
215 1999 3
1811 838 5
170 2576 6
364 338 3
3904 639 4
3807 3222 7
2761 125 6
2061 1209 7
3360 780 4
820 1770 5
2757 1439 10
4260 1421 4
3892 1836 9
1249 4208 9
718 4535 7
1832 3482 4
4248 619 9
4706 1324 8
2371 2511 7
1463 1454 5
2291 2054 1
961 2363 2
3638 641 2
2157 699 2
3120 928 9
205 685 10
3357 2124 2
1657 4372 1
2882 1557 6
4141 2893 4
4530 1404 5
2778 1254 5
984 3020 8
92 2803 1
1213 1000 10
2554 2441 9
1346 74 9
1995 308 4
1257 3889 7
2304 311 3
2370 1300 7
2858 2856 2
3892 2537 1
731 3004 9
2615 1315 1
264 3797 5
4340 1641 4
4381 1591 1
1118 3686 4
1085 3434 1
671 2111 5
1437 392 3
3930 2252 2
3774 3295 10
113 1455 7
1569 1643 5
4094 3769 5
2088 4892 2
1099 4009 8
476 3092 4
2617 2963 5
1999 1887 6
562 3939 6
4708 4908 9
2938 2188 2
640 329 2
911 1775 3
2110 3315 6
636 265 9
3421 1763 7
1901 3479 3
2748 4487 3
3203 1980 5
2185 302 4
1393 567 5
303 660 10
2784 222 5
2052 2049 8
3765 2531 8
2545 4772 6
994 1544 1
4376 3759 4
4109 74 4
2046 1569 4
598 500 4
2836 1791 7
3118 4242 8
4652 2729 3
1368 862 3
3481 3710 2
75 3454 3
95 1186 1
4818 1064 1
3514 1603 3
34 1629 9
761 3718 3
933 2742 8
1256 2521 6
3207 2907 9
1185 1001 5
254 2502 4
2678 2611 1
4800 1693 2
2699 1416 1
2300 4996 5
1865 147 1
2777 2880 10
264 2205 6
367 4372 2
988 4595 10
2417 563 7
822 3081 1
4243 953 7
2483 4312 7
4429 3830 6
290 2153 8
3093 2876 7
725 2596 3
132 2498 7
132 2036 7
3277 4288 4
2775 3100 3
2523 3082 7
3500 4748 1
1925 85 4
2966 3241 3
4593 2681 3
1243 3900 6
313 4427 1
3251 4931 5
2110 4022 10
4396 97 4
553 3193 7
325 4547 2
344 1028 6
843 116 2
4891 2333 6
4547 1575 9
1702 4606 10
2597 4247 10
3740 1398 5
1257 2132 2
2938 1562 4
2018 54 10
3952 4639 5
1732 4720 3
672 1892 5
2865 3640 2
4624 1118 8
3753 518 2
620 2183 2
586 3358 3
3645 2630 5
178 3773 9
2979 3831 9
3905 3668 3
482 1601 6
1137 299 3
2336 537 9
2000 238 3
2447 721 1
4130 2862 10
4995 4750 6
4981 692 7
2059 1097 6
3427 3796 6
2070 3140 3
3109 314 5
3929 1406 3
3534 3524 3
4656 1951 1
3448 4954 10
3151 4051 7
3010 3724 4
4413 512 3
23 563 4
2539 1836 8
2501 4892 4
3014 2780 9
2858 2478 7
2504 1010 10
4734 1500 5
3261 3416 1
3598 1822 2
88 440 1
1018 2890 4
4348 1643 1
3150 3856 5
4978 2309 2
317 4639 9
575 4491 1
4425 460 5
261 1074 5
979 298 2
1535 3571 7
876 3899 5
4406 94 8
2782 485 6
3265 4381 9
1505 3610 3
3927 4439 7
4482 1375 9
423 1668 6
3655 2446 10
1793 739 1
135 1266 8
4613 2093 7
4267 4656 5
2907 4975 1
822 3423 10
1694 1630 6
822 2211 7
4219 4527 7
2454 3782 6
3184 3782 7
64 2732 3
1246 3775 5
1280 4059 10
4598 1311 8
3309 3946 8
1771 4023 10
3225 421 1
3605 4072 8
454 4702 8
4405 1974 6
3240 2673 2
4770 3975 3
251 2389 10
2936 1952 8
697 1503 6
3666 3031 1
1350 1244 10
2651 4089 4
2632 4731 1
1153 3821 5
987 1939 1
4728 1686 8
3024 1719 4
3824 144 8
4726 2021 10
3984 1297 9
2845 3119 6
2017 1354 8
1469 1335 9
1899 460 3
4968 1205 7
1965 2257 10
2495 3800 7
1783 193 2
4299 103 10
2296 938 8
2844 4664 9
4630 914 7
158 174 10
4403 2968 8
871 4973 10
2085 875 1
1008 168 7
571 3297 10
4360 1553 3
2099 255 7
2673 4873 6
4456 4297 7
3510 1864 8
3895 2283 9
4415 2406 5
1833 1250 4
2372 3601 6
1661 541 7
806 410 7
478 3203 1
1922 2523 10
3490 1241 2
2076 3236 6
4886 407 1
3671 442 6
615 492 7
1301 3209 2
931 2513 2
109 4610 10
2387 993 1
2996 3062 5
3843 3638 8
4917 2228 8
1964 2803 2
4611 4258 7
160 1795 1
4235 687 10
1535 1203 9
3964 1650 10
2642 3880 9
229 3345 5
3749 2012 8
4024 3684 3
1572 2548 6
2159 4294 10
3009 4685 9
2543 1896 1
277 106 1
2202 2464 6
2473 4999 6
1344 2732 2
3296 4500 10
2454 128 10
169 3983 7
2139 15 2
4574 558 2
3764 2845 4
4006 1420 3
1980 4297 8
2322 150 3
1504 4922 6
2002 1204 9
3714 4194 6
702 3601 4
2382 1109 6
4587 4100 8
3816 864 5
53 865 3
2420 901 1
1473 3422 1
2443 197 4
4753 4685 1
736 740 2
2152 3815 4
3261 1623 2
4093 4616 7
4250 3694 3
299 696 5
920 450 10
4902 3158 6
4028 2977 3
1146 1180 4
4006 1908 3
1910 892 9
1233 1749 2
3254 739 9
4544 1144 5
2649 2423 7
11 646 6
1426 2398 6
3501 4574 3
3132 2695 1
289 1368 4
1132 4596 8
1845 3968 2
3242 3333 6
4488 2339 4
725 4332 4
1509 3248 10
1937 2417 2
72 4848 7
4949 1194 10
829 873 2
4037 1912 6
3993 2202 5
1211 142 6
400 2443 8
1388 1493 5
583 3168 10
3164 1219 8
267 1764 7
1419 2647 7
3331 2218 3
2378 4789 9
1897 1763 8
2399 4467 2
948 3403 4
3535 926 3
389 3526 1
3510 3322 7
2605 4206 10
4098 466 1
2168 4207 3
4031 1837 6
1688 2989 9
3001 4208 5
3973 1539 8
823 880 3
178 2438 2
472 3147 5
163 3036 10
653 2316 10
688 862 3
2730 4689 6
2467 4655 7
465 609 5
42 523 9
1702 2827 8
1426 3264 7
3737 3331 1
2502 3229 10
4492 3126 9
4191 981 7
1676 4659 4
4752 1685 8
2199 2185 8
1856 1721 7
596 1472 1
2599 1280 10
2829 463 4
889 514 5
4925 495 2
3130 3214 1
654 2246 7
4182 1733 4
2675 2264 4
396 3999 4
162 3512 9
731 3041 7
1708 370 3
862 4486 8
4102 3081 8
3753 4681 7
257 4962 3
3308 2993 2
2144 3346 6
4747 2270 9
1835 3599 4
2546 3983 5
113 3821 7
4361 3501 3
2867 513 5
1894 3491 7
426 330 3
1420 229 6
2587 3058 9
3160 504 8
1819 1544 1
2227 733 3
1012 2853 1
498 3982 4
3441 4006 7
685 4675 5
2496 653 3
634 2308 4
4366 20 3
1086 3520 4
401 1752 1
2727 4951 9
3421 3557 3
3942 3826 2
1993 941 9
3802 2051 9
990 1255 3
4992 474 9
716 75 5
2515 3855 2
1543 4806 7
2952 3664 6
1011 2556 3
3168 4118 7
4268 197 9
3200 3707 2
3027 2048 8
3425 1515 9
3672 4942 8
3035 2550 10
1126 3326 7
4822 2221 5
2621 1699 5
2859 4423 2
2376 944 5
4500 4212 2
2001 2716 7
695 562 7
1884 2125 9
1629 2690 7
3146 651 9
4321 463 8
1064 3309 1
2767 4878 8
4075 822 10
1711 695 2
2303 2808 1
4263 261 2
1223 2677 3
326 4997 7
2287 3142 10
671 4546 10
4767 3212 6
4711 2458 10
1458 4158 6
4965 1792 1
4935 1378 8
2900 1729 6
1608 4408 1
3373 1734 3
189 578 7
3003 3502 8
2637 413 4
2929 242 5
2325 3833 9
1798 2409 4
399 546 1
3310 2617 2
94 1488 8
266 3639 2
1588 2711 4
714 4351 7
82 3892 10
2901 2898 1
1665 4638 3
685 1378 3
2749 523 3
564 1896 5
2166 4498 2
3901 2500 4
3995 4705 10
4942 4506 1
601 509 9
4518 4729 9
2216 1980 4
3314 1495 6
8 3398 10
2921 3357 2
4754 212 9
2695 1016 9
3523 993 8
3027 3218 6
4729 4590 1
413 2325 8
297 3656 10
368 3465 8
1594 4250 9
4135 976 10
2242 619 2
105 4487 8
4169 3954 5
3859 1889 8
1237 2363 7
491 2 1
2902 2381 6
1276 154 6
1188 4301 5
1657 2765 6
554 4917 9
4919 3196 3
1173 84 4
4068 408 9
905 2589 8
3293 4250 3
4346 3750 10
273 2548 5
2546 2726 8
1632 596 3
3020 1347 1
1715 3422 1
1005 827 9
552 80 1
4595 2131 8
4754 217 6
2532 835 9
1167 244 2
2345 4631 3
4188 1273 6
734 1606 6
3155 3175 3
1513 2586 8
2443 1981 6
89 251 2
524 4208 6
2226 505 6
486 4453 5
1206 2808 6
398 4927 7
3368 1624 3
2475 1453 9
2393 2227 10
3240 740 2
3981 4718 1
3044 1650 10
3193 3928 10
805 3381 9
4820 1370 5
768 2483 6
2669 1339 7
425 1036 3
223 4623 8
189 3153 9
3912 776 8
944 3568 8
2633 2310 9
1468 3849 2
4863 4672 4
2363 4394 3
391 994 1
3901 2378 6
2456 214 2
4188 956 3
3267 1497 5
660 2435 3
1349 1482 4
4428 4245 2
4849 3177 3
4388 4695 9
4770 3053 6
3257 3280 2
86 4560 7
2170 36 8
1428 1645 7
4645 959 1
845 3559 5
3268 3216 10
2275 1443 1
4405 1114 8
1373 3265 4
3843 1421 9
3825 4674 10
38 3301 8
1944 384 9
4645 4743 6
35 4962 2
1542 656 10
2429 2945 3
1623 412 9
2312 4661 9
2913 1664 9
1104 3713 10
411 3748 1
1344 3969 10
2993 3567 8
80 2630 9
2870 2825 8
3631 791 5
3163 4328 4
1698 4194 1
45 2584 10
243 2811 3
3279 806 8
741 2988 9
4159 745 1
4610 1636 4
1144 3430 7
2622 2849 4
1877 4819 9
1439 741 5
1989 4498 2
1501 4027 1
3417 4196 3
2742 1092 6
1470 1559 6
3576 4104 3
13 873 8
3879 1177 10
2058 1657 5
4686 685 6
4757 841 9
960 3635 1
4615 3158 9
3990 2067 4
4318 3375 2
4390 1888 6
2371 857 3
442 2658 6
1031 4767 8
4710 2291 1
602 3232 1
967 2917 10
536 4928 5
4983 2434 10
392 4233 9
2878 2022 5
1330 452 10
2146 2167 1
1560 248 10
3000 2138 3
703 2196 6
1381 4246 2
2957 644 7
1917 711 8
3955 4744 3
1637 455 1
305 4731 4
1110 4565 2
4218 3013 7
4586 1798 10
940 1947 9
2093 802 5
948 2944 8
2376 929 4
1623 1427 9
4153 3113 10
3149 4739 9
995 3105 3
3856 2738 2
4286 2949 8
2648 2285 9
2314 3293 2
1808 2254 9
3677 2554 2
335 2863 7
4919 1858 10
3794 352 1
4329 396 9
419 3436 8
3038 1406 1
3142 2190 2
730 3755 6
2970 4874 7
205 38 5
982 2801 4
1853 3999 5
1002 4407 8
4820 3597 6
16 953 8
2835 3328 6
3815 1429 3
942 2088 1
4837 4733 8
4321 3264 4
3052 2473 9
222 1848 7
3208 472 7
1761 4987 10
4129 3416 2
197 4647 4
4954 4721 5
4071 4567 10
3001 1811 9
3499 3149 3
1429 834 2
1454 3553 3
3072 245 1
1156 1140 2
3655 3787 1
3837 3775 6
1474 1387 2
4541 1793 5
4953 4248 3
164 1644 6
4366 3404 7
656 1318 10
704 1512 10
1452 2033 3
2875 4170 6
2093 622 8
1962 1504 10
942 800 1
2283 1871 6
4137 4663 8
2436 3288 3
1955 2734 8
543 1516 9
3115 430 10
1531 3508 10
3116 3601 5
3642 4934 6
3445 3119 6
4673 686 4
3163 4967 2
3450 1649 9
1345 2715 4
1466 931 9
3218 209 9
380 2490 7
2740 991 4
1646 1995 9
4362 823 2
2319 96 7
4935 2273 2
1713 2861 6
